,Label,Similar
0,5910215.csv,
1,9005954.csv,"['9005957.csv', '9005981.csv', '9006024.csv', '9015023.csv', '9001370.csv', '9001440.csv', '9001980.csv', '9001981.csv', '9005211.csv', '9005177.csv', '9005987.csv', '9002163.csv', '9006001.csv', '9006036.csv', '9002786.csv', '9001432.csv', '9005178.csv', '9005966.csv', '9002743.csv', '9015610.csv', '9001984.csv', '9016625.csv', '9005960.csv', '9001976.csv', '9005166.csv', '9006031.csv', '9005207.csv', '9001437.csv', '9005216.csv', '9005965.csv', '9005980.csv', '9002746.csv', '9005179.csv', '9006022.csv', '9002071.csv', '9002735.csv', '9005210.csv', '9006020.csv', '9005205.csv', '9002785.csv', '9005955.csv', '9006033.csv', '9014537.csv', '9005956.csv', '9005990.csv', '9005215.csv', '9001971.csv', '9005163.csv', '9005970.csv', '9002753.csv', '9001441.csv', '9002788.csv', '9005976.csv', '9006014.csv', '9006039.csv', '9005181.csv', '9001982.csv', '9002789.csv', '9001978.csv', '9002331.csv', '9005984.csv', '9006037.csv', '9005171.csv', '9005217.csv', '9005963.csv', '9001369.csv', '9002167.csv', '9006006.csv', '9001983.csv', '9005958.csv', '9006013.csv', '9002752.csv', '9005170.csv', '9005992.csv', '9005167.csv', '9016111.csv', '9005952.csv', '9006016.csv', '9005180.csv', '9006009.csv', '9005173.csv', '9005996.csv', '9002736.csv', '9005175.csv', '9016138.csv', '9001439.csv', '9006003.csv', '9000876.csv', '9002168.csv', '9005961.csv', '9002787.csv', '9005989.csv', '9002756.csv', '9006029.csv', '9002792.csv', '9005206.csv', '9005959.csv', '9005203.csv', '9005974.csv', '9005168.csv', '9006041.csv', '9005985.csv', '9005962.csv', '9005982.csv', '9005999.csv', '9006017.csv', '9002793.csv', '9005218.csv', '9002166.csv', '9001436.csv', '9001371.csv', '9006007.csv', '9006038.csv', '9005164.csv', '9001973.csv', '9002749.csv', '9005169.csv', '9006023.csv', '9005967.csv', '9006025.csv', '9001438.csv', '9002790.csv', '9005988.csv', '9006034.csv', '9006012.csv', '9005964.csv', '9005991.csv', '9005212.csv', '9002784.csv', '9006027.csv', '9006005.csv', '9005172.csv', '9005971.csv', '9006030.csv', '9006004.csv', '9016467.csv', '9005993.csv', '9005953.csv', '9014463.csv', '9000939.csv', '9005204.csv', '9005209.csv', '9005174.csv', '9001975.csv', '9005986.csv', '9005968.csv', '9006018.csv', '9001434.csv', '9002791.csv', '9006026.csv', '9001974.csv', '9006011.csv', '9006008.csv', '9005983.csv', '9005977.csv', '9005972.csv', '9005219.csv', '9001433.csv', '9001977.csv', '9002783.csv', '9005213.csv', '9002740.csv', '9001374.csv', '9006000.csv', '9005978.csv', '9001368.csv', '9001366.csv', '9001986.csv', '9006040.csv', '9001979.csv', '9001987.csv', '9005969.csv', '9014785.csv', '9001970.csv', '9005994.csv', '9001972.csv', '9005208.csv', '9006010.csv', '9001444.csv', '9005214.csv', '9001985.csv', '9001443.csv', '9005165.csv', '9002164.csv', '9015214.csv', '9001375.csv', '9006015.csv', '9002136.csv', '9006021.csv', '9002755.csv', '9006032.csv', '9005995.csv', '9005975.csv', '9005979.csv', '9005998.csv', '9005176.csv', '9006019.csv', '9001372.csv', '9006002.csv', '9005997.csv', '9006035.csv', '9002747.csv', '9005973.csv', '9001435.csv', '9001442.csv', '9015247.csv', '9001373.csv', '9006028.csv', '9002165.csv', '9014846.csv', '9014985.csv']"
2,7030601.csv,['7002531.csv']
3,4002264.csv,
4,9000076.csv,"['9006136.csv', '9006141.csv', '9006124.csv', '9006121.csv', '9006142.csv', '9000427.csv', '9006138.csv', '9006134.csv', '9006128.csv', '9006117.csv', '9006132.csv', '9006123.csv', '9006127.csv', '9006133.csv', '9006143.csv', '9000431.csv', '9006119.csv', '9006131.csv', '1011207.csv', '9004075.csv', '9000428.csv', '9014110.csv', '9000426.csv', '9006137.csv', '9006139.csv', '9006126.csv', '9006130.csv', '9006122.csv', '9006140.csv', '9006129.csv', '9006135.csv', '7123323.csv', '9006125.csv', '9006118.csv', '9006120.csv']"
5,8103594.csv,['8104328.csv']
6,7223785.csv,"['7220303.csv', '2107214.csv']"
7,5910289.csv,['5910231.csv']
8,9002490.csv,"['1528316.csv', '9005225.csv', '9013154.csv', '9005103.csv', '8103694.csv', '9002499.csv', '9005110.csv', '9005102.csv', '9005227.csv', '9005109.csv', '9005223.csv', '9001692.csv', '9005224.csv', '9002497.csv', '9002494.csv', '9005104.csv', '9005226.csv', '9013151.csv', '9013153.csv', '9005222.csv', '1520785.csv', '9002498.csv', '9013152.csv', '9005112.csv', '1528318.csv', '9005113.csv', '9002493.csv', '9002491.csv', '9005107.csv', '9005111.csv', '9002492.csv', '9002487.csv', '9002496.csv', '9001693.csv', '9005108.csv', '9005114.csv', '9002495.csv', '9005106.csv', '2009103.csv', '9002488.csv', '9002489.csv', '1528317.csv', '9005105.csv']"
9,2300537.csv,"['2300534.csv', '2106881.csv', '2300538.csv', '1531483.csv']"
10,1010634.csv,['1011219.csv']
11,1525852.csv,
12,1526797.csv,
13,1546283.csv,
