,Label,Similar,composition,space_group_symmetry
0,5910215.csv,,['Cr Cu O4'],['C m c m']
1,9005954.csv,"['9005957.csv', '9005981.csv', '9006024.csv', '9015023.csv', '9001370.csv', '9001440.csv', '9001980.csv', '9001981.csv', '9005211.csv', '9005177.csv', '9005987.csv', '9002163.csv', '9006001.csv', '9006036.csv', '9002786.csv', '9001432.csv', '9005178.csv', '9005966.csv', '9002743.csv', '9015610.csv', '9001984.csv', '9016625.csv', '9005960.csv', '9001976.csv', '9005166.csv', '9006031.csv', '9005207.csv', '9001437.csv', '9005216.csv', '9005965.csv', '9005980.csv', '9002746.csv', '9005179.csv', '9006022.csv', '9002071.csv', '9002735.csv', '9005210.csv', '9006020.csv', '9005205.csv', '9002785.csv', '9005955.csv', '9006033.csv', '9014537.csv', '9005956.csv', '9005990.csv', '9005215.csv', '9001971.csv', '9005163.csv', '9005970.csv', '9002753.csv', '9001441.csv', '9002788.csv', '9005976.csv', '9006014.csv', '9006039.csv', '9005181.csv', '9001982.csv', '9002789.csv', '9001978.csv', '9002331.csv', '9005984.csv', '9006037.csv', '9005171.csv', '9005217.csv', '9005963.csv', '9001369.csv', '9002167.csv', '9006006.csv', '9001983.csv', '9005958.csv', '9006013.csv', '9002752.csv', '9005170.csv', '9005992.csv', '9005167.csv', '9016111.csv', '9005952.csv', '9006016.csv', '9005180.csv', '9006009.csv', '9005173.csv', '9005996.csv', '9002736.csv', '9005175.csv', '9016138.csv', '9001439.csv', '9006003.csv', '9000876.csv', '9002168.csv', '9005961.csv', '9002787.csv', '9005989.csv', '9002756.csv', '9006029.csv', '9002792.csv', '9005206.csv', '9005959.csv', '9005203.csv', '9005974.csv', '9005168.csv', '9006041.csv', '9005985.csv', '9005962.csv', '9005982.csv', '9005999.csv', '9006017.csv', '9002793.csv', '9005218.csv', '9002166.csv', '9001436.csv', '9001371.csv', '9006007.csv', '9006038.csv', '9005164.csv', '9001973.csv', '9002749.csv', '9005169.csv', '9006023.csv', '9005967.csv', '9006025.csv', '9001438.csv', '9002790.csv', '9005988.csv', '9006034.csv', '9006012.csv', '9005964.csv', '9005991.csv', '9005212.csv', '9002784.csv', '9006027.csv', '9006005.csv', '9005172.csv', '9005971.csv', '9006030.csv', '9006004.csv', '9016467.csv', '9005993.csv', '9005953.csv', '9014463.csv', '9000939.csv', '9005204.csv', '9005209.csv', '9005174.csv', '9001975.csv', '9005986.csv', '9005968.csv', '9006018.csv', '9001434.csv', '9002791.csv', '9006026.csv', '9001974.csv', '9006011.csv', '9006008.csv', '9005983.csv', '9005977.csv', '9005972.csv', '9005219.csv', '9001433.csv', '9001977.csv', '9002783.csv', '9005213.csv', '9002740.csv', '9001374.csv', '9006000.csv', '9005978.csv', '9001368.csv', '9001366.csv', '9001986.csv', '9006040.csv', '9001979.csv', '9001987.csv', '9005969.csv', '9014785.csv', '9001970.csv', '9005994.csv', '9001972.csv', '9005208.csv', '9006010.csv', '9001444.csv', '9005214.csv', '9001985.csv', '9001443.csv', '9005165.csv', '9002164.csv', '9015214.csv', '9001375.csv', '9006015.csv', '9002136.csv', '9006021.csv', '9002755.csv', '9006032.csv', '9005995.csv', '9005975.csv', '9005979.csv', '9005998.csv', '9005176.csv', '9006019.csv', '9001372.csv', '9006002.csv', '9005997.csv', '9006035.csv', '9002747.csv', '9005973.csv', '9001435.csv', '9001442.csv', '9015247.csv', '9001373.csv', '9006028.csv', '9002165.csv', '9014846.csv', '9014985.csv']","['Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Mg1.92 O4 Si0.98', 'Al2.01 Mg0.99 O4', 'Al2 Ni O4', 'Al2 Fe O4', 'Al2 Fe O4', 'Al2 Co O4', 'Al2 Fe O4', 'Al2 Ni0.982 O4', 'Al2.041 Mg0.939 O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al1.99 Fe0.194 Mg0.816 O4', 'Al2 Ni O4', 'Al2 Fe O4', 'Al2 Ni O4', 'Al1.999 Mg1.001 O4', 'Mg1.9 O4 Si0.99', 'Al2.01 Fe0.99 O4', 'Mg1.88 O4 Si0.97', 'Al2 Ni O4', 'Al2 Fe O4', 'Al2 Fe O4', 'Al2 Ni O4', 'Al2 Co O4', 'Al2.001 Ni1.001 O4', 'Al2 Co O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2.001 Mg0.999 O4', 'Al2 Fe O4', 'Al2 Ni O4', 'Al1.99 Mg0.998 O4', 'Al1.999 Mg1.001 O4', 'Al2 Co O4', 'Al2 Ni O4', 'Al2 Co O4', 'Al1.999 Fe0.111 Mg0.89 O4', 'Al2 Ni O4', 'Al1.931 Ni O4', 'Mg1.84 O4 Si0.91', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Co O4', 'Al2 Fe O4', 'Al2 Fe O4', 'Al2 Ni O4', 'Al1.999 Mg1.001 O4', 'Al1.999 Ni1.001 O4', 'Al1.981 Fe0.371 Mg0.648 O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Fe O4', 'Al2 Fe1.001 O4', 'Al1.962 Fe0.494 Mg0.544 O4', 'Al2 Fe O4', 'Fe3 O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Fe O4', 'Al2 Co O4', 'Al2 Ni O4', 'Al2.01 Mg0.99 O4', 'Al2.039 Mg0.94 O4', 'Al2 Ni O4', 'Al2 Fe O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al1.999 Mg1.001 O4', 'Al2 Fe O4', 'Al2 Ni O4', 'Al2 Fe O4', 'Mg1.84 O4 Si0.98', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Fe O4', 'Al2 Ni O4', 'Al2 Fe O4', 'Al2 Ni O4', 'Al1.999 Mg1.001 O4', 'Al2 Fe O4', 'Mg1.88 O4 Si0.98', 'Al2.001 Ni0.999 O4', 'Al2 Ni O4', 'Al2.11 Mn0.89 O4', 'Al2.041 Mg0.939 O4', 'Al2 Ni O4', 'Al1.982 Fe0.292 Mg0.726 O4', 'Al2 Ni O4', 'Al2.001 Mg0.999 O4', 'Al2 Ni O4', 'Al1.926 Fe0.897 Mg0.177 O4', 'Al2 Co O4', 'Al2 Ni O4', 'Al2 Co O4', 'Al2 Ni O4', 'Al2 Fe O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al1.897 Fe1.103 O4', 'Al2 Co O4', 'Al2.041 Mg0.939 O4', 'Al2 Ni O4', 'Al2.01 Mg0.99 O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Fe O4', 'Al2 Fe O4', 'Al1.999 Mg1.001 O4', 'Al2 Fe O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al1.964 Fe0.617 Mg0.419 O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Co O4', 'Al1.999 Fe0.046 Mg0.955 O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Fe O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Mg1.92 O4 Si0.98', 'Al2 Ni O4', 'Al2 Ni O4', 'Mg1.88 O4 Si0.95', 'Al2 Fe O4', 'Al2 Co O4', 'Al2 Co O4', 'Al2 Fe O4', 'Al2 Fe O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al1.938 Fe0.759 Mg0.303 O4', 'Al2 Ni O4', 'Al2 Fe O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Co O4', 'Al1.999 Ni0.999 O4', 'Al2 Fe O4', 'Al1.999 Mg1.001 O4', 'Al2 Co O4', 'Al1.999 Mg1.001 O4', 'Al2.01 Mg0.99 O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2.01 Mg0.99 O4', 'Al2.01 Mg0.99 O4', 'Al2 Fe0.999 O4', 'Al2 Ni O4', 'Al2 Fe O4', 'Al2 Fe O4', 'Al2 Ni O4', 'Mg1.88 O4 Si0.96', 'Al2 Fe O4', 'Al2 Ni O4', 'Al2 Fe O4', 'Al2 Co O4', 'Al2 Ni O4', 'Al1.999 Ni1.001 O4', 'Al2 Co O4', 'Al2 Fe O4', 'Al2.001 Ni1.001 O4', 'Al2 Fe O4', 'Al2.041 Mg0.939 O4', 'Mg1.84 O4 Si0.93', 'Al2.01 Mg0.99 O4', 'Al2 Ni O4', 'Al2.04 Mg0.96 O4', 'Al2 Ni O4', 'Al2.001 Mg0.999 O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Fe O4', 'Al2 Ni O4', 'Al2.01 Mg0.99 O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2 Ni O4', 'Al2.001 Mg0.999 O4', 'Al2 Ni O4', 'Al2.001 Ni0.999 O4', 'Al2 Ni O4', 'Mg1.8 O4 Si0.97', 'Al1.99 Mg1.01 O4', 'Al2 Ni O4', 'Al2.041 Mg0.939 O4', 'Mg1.84 O4 Si0.95', 'Mg1.86 O4 Si0.94']","['F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2']"
2,7030601.csv,['7002531.csv'],"['C58.6 H86.8 Al2 Cl6.4 Hf O4 S2', 'C58.6 H86.8 Al2 Cl6.4 Hf O4 S2']","['P -1', 'P -1']"
3,4002264.csv,,['Ga S8 V4'],['R 3 m :H']
4,9000076.csv,"['9006136.csv', '9006141.csv', '9006124.csv', '9006121.csv', '9006142.csv', '9000427.csv', '9006138.csv', '9006134.csv', '9006128.csv', '9006117.csv', '9006132.csv', '9006123.csv', '9006127.csv', '9006133.csv', '9006143.csv', '9000431.csv', '9006119.csv', '9006131.csv', '1011207.csv', '9004075.csv', '9000428.csv', '9014110.csv', '9000426.csv', '9006137.csv', '9006139.csv', '9006126.csv', '9006130.csv', '9006122.csv', '9006140.csv', '9006129.csv', '9006135.csv', '7123323.csv', '9006125.csv', '9006118.csv', '9006120.csv']","['Fe4.5 Ni4.5 S8', 'Fe4.227 Ni4.773 S8', 'Fe4.234 Ni4.766 S8', 'Fe5.007 Ni3.993 S8', 'Fe5.001 Ni3.999 S8', 'Fe4.419 Ni4.581 S8', 'Co0.072 Fe3.969 Ni4.842 S8', 'Fe4.23 Ni4.77 S8', 'Fe4.227 Ni4.773 S8', 'Fe4.228 Ni4.772 S8', 'Fe5.003 Ni3.997 S8', 'Fe4.229 Ni4.771 S8', 'Fe5.002 Ni3.998 S8', 'Fe4.234 Ni4.766 S8', 'Fe4.233 Ni4.767 S8', 'Fe4.421 Ni4.579 S8', 'Co5.571 Fe1.629 Ni1.818 S8', 'Fe5.006 Ni3.994 S8', 'Fe4.226 Ni4.774 S8', 'Fe9 Ni9 S16', 'Fe4.23 Ni4.77 S8', 'Co0.072 Fe3.969 Ni4.842 S8', 'Fe4.5 Ni4.5 S8', 'Co0.072 Fe3.969 Ni4.842 S8', 'Fe4.231 Ni4.769 S8', 'Fe4.23 Ni4.77 S8', 'Fe4.228 Ni4.772 S8', 'Fe4.228 Ni4.772 S8', 'Fe5.001 Ni3.999 S8', 'Fe4.228 Ni4.772 S8', 'Fe4.229 Ni4.771 S8', 'Fe4.231 Ni4.769 S8', 'Fe15.46 Ni20.54 S32', 'Fe4.228 Ni4.772 S8', 'Fe5.004 Ni3.996 S8', 'Fe5.005 Ni3.995 S8']","['F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m']"
5,8103594.csv,['8104328.csv'],"['Bi20.9 Pb4.65 S36', 'Bi41.88 Pb9.32 S76']","['B b m m', 'C m c m']"
6,7223785.csv,"['7220303.csv', '2107214.csv']","['Bi2 Mo3 O12', 'Bi2 Mo2.66 O12 W0.34', 'Bi2 Mo3 O12']","['P 1 21/n 1', 'P 1 21/c 1', 'P 1 21/c 1']"
7,5910289.csv,['5910231.csv'],"['Cr In2 S4', 'Co In2 S4']","['F d -3 m :2', 'F d -3 m :2']"
8,9002490.csv,"['1528316.csv', '9005225.csv', '9013154.csv', '9005103.csv', '8103694.csv', '9002499.csv', '9005110.csv', '9005102.csv', '9005227.csv', '9005109.csv', '9005223.csv', '9001692.csv', '9005224.csv', '9002497.csv', '9002494.csv', '9005104.csv', '9005226.csv', '9013151.csv', '9013153.csv', '9005222.csv', '1520785.csv', '9002498.csv', '9013152.csv', '9005112.csv', '1528318.csv', '9005113.csv', '9002493.csv', '9002491.csv', '9005107.csv', '9005111.csv', '9002492.csv', '9002487.csv', '9002496.csv', '9001693.csv', '9005108.csv', '9005114.csv', '9002495.csv', '9005106.csv', '2009103.csv', '9002488.csv', '9002489.csv', '1528317.csv', '9005105.csv']","['Fe2.02 O4 Zn0.98', 'Fe2 Mn O4', 'Fe1.424 Mn0.576 O4 Ti', 'Co2.333 O4 Sb0.667', 'Fe2 O4 Zn', 'Ga2 Mn O4', 'Fe2.025 O4 Zn0.975', 'Fe2 O4 Zn', 'Fe2 O4 Zn', 'Fe1.008 Mn0.992 O4 Ti', 'Fe2 O4 Zn', 'Fe1.804 Mn0.196 O4 Ti', 'O4 Ti Zn2', 'Fe1.604 Mn0.396 O4 Ti', 'Fe2.02 O4 Zn0.98', 'Fe2.02 O4 Zn0.98', 'Fe2 O4 Zn', 'Fe1.218 Mn0.782 O4 Ti', 'Co1.8 Cr0.8 O4 Sb0.4', 'Co2.2 Cr0.2 O4 Sb0.6', 'Fe2 O4 Ti', 'Co2.5 O4 Sb0.5', 'Fe2.021 O4 Zn0.979', 'Co2 Cr0.5 O4 Sb0.5', 'Fe2 O4 Zn', 'Fe1.85 Mn0.67 O4 Zn0.18', 'Fe2 O4 Zn', 'Fe2.02 O4 Zn0.98', 'Fe2.02 O4 Zn0.98', 'Fe2 O4 Zn', 'Fe2 O4 Zn', 'Fe2.02 O4 Zn0.98', 'Fe2.024 O4 Zn0.976', 'Fe2.023 O4 Zn0.977', 'O4 Ti Zn2', 'Fe2 O4 Zn', 'Fe2 O4 Zn', 'Fe2.02 O4 Zn0.978', 'Fe2 O4 Zn', 'Fe1.96 Mn0.36 O4 Zn0.68', 'Fe2.026 O4 Zn0.974', 'Fe2.022 O4 Zn0.978', 'Fe1.83 Mn0.5 O4 Zn0.41', 'Fe2 O4 Zn']","['F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2', 'F d -3 m :2']"
9,2300537.csv,"['2300534.csv', '2106881.csv', '2300538.csv', '1531483.csv']","['Eu1.8 O3 Yb0.2', 'Er0.4 Gd1.6 O3', 'Gd2 O3', 'Eu1.6 O3 Yb0.4', 'Gd2 O3']","['I a -3', 'I a -3', 'I a -3', 'I a -3', 'I a -3']"
